,id,start,strat,type,SMA,entry,TP,SL,SR,entry_time,outcome,pips,lasttime,bounces,bounces_lasttime
55,EUR_USD 08OCT2008D,2008-10-07 22:00:00,counter_b1,long,N,1.37498,1.4225,1.34318,1.35952,2008-10-08 18:00:00,failure,-318,2007-08-21 21:00:00,1,1
56,EUR_USD 04JUN2009D,2009-06-03 22:00:00,counter_b1,short,N,1.41503,1.38328,1.43606,1.43712,2009-06-03 21:30:00,success,317.5,2008-09-28 21:00:00,0,0
57,EUR_USD 06APR2016D,2016-04-05 22:00:00,counter_b1,short,Y,1.1335,1.11616,1.14495,1.14107,2016-04-06 11:00:00,failure,-114.5,2015-08-25 21:00:00,4,1
58,EUR_USD 28NOV2016D,2016-11-27 22:00:00,counter_b1,long,N,1.06315,1.07971,1.05205,1.05503,2016-11-28 00:30:00,failure,-111,2005-12-15 22:00:00,1,1
59,EUR_USD 29MAY2018H12,2018-05-29 21:00:00,counter_b1,long,N,1.1592,1.17112,1.15134,1.15566,2018-05-30 07:30:00,success,119.2,2017-07-17 09:00:00,1,1
60,GBP_AUD 26JAN2017H12,2007-01-26 10:00:00,counter_b1,short,N,2.53349,2.51646,2.54492,2.54284,2007-01-26 10:30:00,failure,-114.3,2004-12-09 10:00:00,0,0
61,GBP_AUD 09AUG2013D,2013-08-08 22:00:00,counter_b1,short,N,1.70404,1.65878,1.73396,1.71884,2013-08-09 01:30:00,failure,-299.2,2010-08-30 21:00:00,0,0
62,GBP_AUD 06DEC2013D,2013-12-05 22:00:00,counter_b1,short,N,1.79818,1.76228,1.82198,1.8136,2013-12-06 15:30:00,failure,-238,2009-11-01 22:00:00,2,2
63,GBP_AUD 18MAR2016D,2016-03-17 22:00:00,counter_b1,long,N,1.90206,1.95764,1.86573,1.89093,2016-03-18 13:00:00,failure,-363.3,2015-01-22 22:00:00,1,1
64,GBP_AUD 29MAR2018D,2018-03-28 22:00:00,counter_b1,short,N,1.83538,1.81033,1.85191,1.83966,2018-03-29 05:30:00,success,250.5,2016-06-23 21:00:00,7,0
65,GBP_AUD 07MAR2019H12,2019-03-07 10:00:00,counter_b1,short,N,1.86771,1.85198,1.87804,1.86985,2019-03-07 10:30:00,success,157.3,2016-06-24 09:00:00,2,0
66,GBP_AUD 05JUL2019D,2019-07-04 22:00:00,counter_b1,long,N,1.79435,1.8077,1.78539,1.78919,2019-07-05 14:00:00,failure,-89.6,2019-01-10 22:00:00,6,0
