	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
470	EUR_AUD 18JUN2013D	2013-06-17 23:00:00	long	D	1.4114	1	4	7,10,2,2	3022	7	1	1	58.0	18208.0	2010-01-08 00:00:00	1		FALSE	4.0	2.0	3.0											379.33	62.96		1256	313.9310344827586	6.5344827586206895	12.068965517241379	A	7.0	21	20
471	EUR_AUD 15AUG2013D	2013-08-14 23:00:00	long	D	1.46074	1	6	3,5,7,10,2,3	4817	12	2	0	94.0	23810.0	2010-03-15 00:00:00	1		FALSE	4.0	0.0	1.0											496.04	100.35		1248	253.29787234042553	5.276595744680851	12.76595744680851	A	6.0	30	12
472	EUR_AUD 23DEC2014D	2014-12-22 23:00:00	long	D	1.51004	0	1	6	2932	7	2	0	21.0	8094.0	2014-03-25 00:00:00	1		TRUE	0.0	2.0	4.0											168.62	61.08		272	385.42857142857144	8.0	33.333333333333336	A	3.5	6	10
473	EUR_AUD 01SEP2015D	2015-08-31 23:00:00	long	D	1.58369	1	1	3	8781	7	1	0	8.0	7691.0	2009-01-12 00:00:00	1		FALSE	0.0	0.0	1.0											160.23	182.94		2422	961.375	20.0	87.5	A	7.0	3	10
474	USD_CAD 25JAN2007H8	2007-01-25 14:00:00	long	H8	1.18136	1	1	6	715	10	18	0	119.0	5120.0	2015-01-11 00:00:00	1		FALSE	3.0	3.0	4.5											106.67	14.9		-2908	43.02521008403362	0.8907563025210085	8.403361344537815	A	0.5555555555555556	6	7
475	EUR_AUD 28MAR2006H12	2006-03-28 22:00:00	long	H12	1.7064700000000002	0	2	4,9	1361	6	1	1	18.0	7814.0	2005-01-01 00:00:00	1		FALSE	1.0	8.0	5.0											162.79	28.35		451	434.1111111111111	9.0	33.333333333333336	P	6.0	13	8
476	EUR_AUD 14AUG2008H12	2008-08-14 21:00:00	long	H12	1.7074599999999998	0	2	2,11	3608	6	1	0	24.0	7107.0	2008-01-04 00:00:00	1		FALSE	1.0	3.0	4.5											148.06	75.17		223	296.125	6.166666666666667	25.0	A	6.0	13	12
477	EUR_AUD 25JAN2011H12	2011-01-25 10:00:00	long	H12	1.37523	0	2	3,1	1321	6	1	0	22.0	7848.0	2010-01-11 00:00:00	1	3195.0	FALSE	2.0	3.0	4.5											163.5	27.52	66.56	379	356.72727272727275	7.409090909090909	27.272727272727273	A	6.0	4	13
478	EUR_AUD 03OCT2011H12	2011-03-10 21:00:00	long	H12	1.38814	1	2	2,1	1372	8	6	0	31.0	8806.0	2011-01-03 00:00:00	1		FALSE	1.0	3.0	4.5											183.46	28.58		66	284.06451612903226	5.903225806451613	25.806451612903224	A	1.3333333333333333	3	5
479	EUR_AUD 20DEC2012H12	2012-12-20 10:00:00	long	H12	1.26378	1	0	0	680	3	1	1	11.0	3071.0	2012-01-10 00:00:00	1		FALSE	2.0	3.0	4.5											63.98	14.17		345	279.1818181818182	5.7272727272727275	27.272727272727273	A	3.0	0	36
480	EUR_AUD 31MAR2014H12	2014-03-31 21:00:00	short	H12	1.48464	1	2	1,7	1100	7	1	0	21.0	5725.0	2013-01-11 00:00:00	1		TRUE	2.0	3.0	4.5											119.27	22.92		444	272.6190476190476	5.666666666666667	33.333333333333336	A	7.0	8	17
