	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
380	AUD_USD 25AUG2008D	2008-08-25 23:00:00	short	D	0.86431	1	0	0	1610	10	2	1	22.0	11222.0	2007-01-09 00:00:00	1		FALSE	0.0	2.0	3.0				18.0					72	True	233.79	33.54		594	510.09090909090907	10.590909090909092	45.45454545454545	A	5.0	0	26
384	AUD_USD 24AUG2018D	2018-08-24 01:00:00	short	D	0.73211	1	2	1,2	1410	10	1	0	149.0	7653.0	2017-01-01 00:00:00	1		FALSE	2.0	2.0	3.0	0.0			142.0						False	159.44	29.38		600	51.36241610738255	1.0671140939597314	6.7114093959731544	A	10.0	3	14
388	AUD_USD 22SEP2015D	2015-09-22 03:00:00	short	D	0.71336	0	4	6,2,1,1	2814	16	6	0	93.0	10276.0	2009-01-03 00:00:00	1	1000.0	FALSE	2.0	2.0	3.0	1.0			92.0	8.0	4.0	26,38,25	32.0		False	214.08	58.62	20.83	2453	110.49462365591398	2.3010752688172045	17.204301075268816	A	2.6666666666666665	10	2
397	AUD_USD 19OCT2011D	2011-10-19 23:00:00	long	D	1.0315	1	0	0	1627	6	3	0	13.0	7667.0	2011-01-08 00:00:00	1		TRUE	0.0	2.0	3.0	0.0			8.0						True	159.73	33.9		284	589.7692307692307	12.23076923076923	46.15384615384615	A	2.0	0	22
403	AUD_USD 17JAN2017D	2017-01-17 23:00:00	long	D	0.74935	1	0	0	370	3	1	0	13.0	3863.0	2016-01-11 00:00:00	1		FALSE	1.0	2.0	3.0	0.0			10.0						True	80.48	7.71		372	297.15384615384613	6.153846153846154	23.076923076923077	A	3.0	0	11
418	AUD_USD 11JAN2018D	2018-12-01 00:00:00	long	D	0.7859999999999999	1	1	6	472	7	1	1	20.0	3460.0	2017-01-09 00:00:00	1		FALSE	0.0	2.0	3.0	0.0			16.0						True	72.08	9.83		691	173.0	3.6	35.0	A	7.0	6	26
422	AUD_USD 10JUN2009D	2009-10-06 23:00:00	long	D	0.8053600000000001	0	4	3,1,1,1	2800	9	1	0	66.0	17349.0	2008-01-09 00:00:00	1	1310.0	TRUE	2.0	2.0	3.0				61.0					59,28,-6,51	False	361.44	58.33	27.29	636	262.8636363636364	5.46969696969697	13.636363636363637	A	9.0	6	9
425	AUD_USD 08MAR2018D	2018-09-03 22:01:00	short	D	0.77847	0	0	0	1046	8	5	0	27.0	3236.0	2017-01-12 00:00:00	1	780.0	FALSE	1.0	2.0	3.0	0.0			22.0						False	67.42	21.79	16.25	599	119.85185185185185	2.4814814814814814	29.62962962962963	A	1.6	0	12
433	AUD_NZD 26SEP2012D	2012-09-25 23:00:00	short	D	1.26209	1	3	1,1,1	820	5	2	0	29.0	4087.0	2012-01-04 00:00:00	1		FALSE	1.0	2.0	3.0											85.15	17.08		265	140.93103448275863	2.9310344827586206	17.24137931034483	A	2.5	3	17
434	AUD_NZD 21OCT2011D	2011-10-20 23:00:00	long	D	1.2927799999999998	1	0	0	531	4	1	0	22.0	5388.0	2011-01-07 00:00:00	1		FALSE	1.0	2.0	3.0											112.25	11.06		286	244.9090909090909	5.090909090909091	18.181818181818183	A	4.0	0	17
435	AUD_NZD 20SEP2010D	2010-09-17 23:00:00	long	D	1.2965799999999998	1	3	1,2,1	403	3	1	0	46.0	8345.0	2010-01-04 00:00:00	1		FALSE	4.0	2.0	3.0											173.85	8.4		256	181.41304347826087	3.760869565217391	6.521739130434782	A	3.0	4	5
436	AUD_NZD 20NOV2015D	2015-11-19 23:00:00	long	D	1.10317	0	0	0	695	4	1	0	13.0	4935.0	2015-01-09 00:00:00	1		FALSE	1.0	2.0	3.0											102.81	14.48		314	379.61538461538464	7.846153846153846	30.76923076923077	A	4.0	0	8
437	AUD_NZD 20JUN2008D	2008-06-19 23:00:00	long	D	1.25066	1	7	1,2,11,1,5,1,2	1618	11	3	0	62.0	11515.0	2003-01-01 00:00:00	1		FALSE	2.0	2.0	3.0											239.9	33.71		1996	185.7258064516129	3.8548387096774195	17.741935483870968	A	3.6666666666666665	23	8
438	AUD_NZD 18DEC2018D	2018-12-17 23:00:00	short	D	1.05303	1	4	6,3,6,1	1107	9	1	0	48.0	4381.0	2017-01-07 00:00:00	1		FALSE	3.0	2.0	3.0											91.27	23.06		709	91.27083333333333	1.8958333333333333	18.75	A	9.0	16	9
439	AUD_NZD 16JUN2016D	2016-06-15 23:00:00	short	D	1.04922	1	2	3,1	1142	6	1	0	36.0	7525.0	2015-01-05 00:00:00	1		FALSE	2.0	2.0	3.0											156.77	23.79		527	209.02777777777777	4.333333333333333	16.666666666666668	A	6.0	4	24
440	AUD_NZD 12MAR2013D	2013-11-03 23:00:00	long	D	1.24834	1	0	0	410	3	1	0	16.0	3168.0	2013-01-01 00:00:00	1		FALSE	1.0	2.0	3.0											66.0	8.54		306	198.0	4.125	18.75	A	3.0	0	8
441	AUD_NZD 11MAY2015D	2015-08-05 23:00:00	long	D	1.06529	1	1	2	847	4	1	0	12.0	6087.0	2015-01-01 00:00:00	1		FALSE	1.0	2.0	3.0											126.81	17.65		216	507.25	10.5	33.333333333333336	A	4.0	2	10
442	AUD_NZD 07JUN2011D	2011-06-06 23:00:00	short	D	1.31235	1	2	1,1	2040	9	1	0	13.0	4042.0	2011-01-05 00:00:00	1		FALSE	0.0	2.0	3.0											84.21	42.5		152	310.9230769230769	6.461538461538462	69.23076923076923	A	9.0	2	17
443	AUD_NZD 06JAN2015D	2015-05-01 23:00:00	short	D	1.04845	0	3	15,2,4	1090	13	4	1	43.0	8025.0	2005-01-11 00:00:00	1		FALSE	1.0	2.0	3.0											167.19	22.71		3762	186.62790697674419	3.883720930232558	30.232558139534884	A	3.25	21	12
444	AUD_NZD 05MAY2008D	2008-02-05 23:00:00	long	D	1.2034	1	3	5,1,2	833	5	1	1	28.0	6722.0	2006-01-08 00:00:00	1		FALSE	2.0	2.0	3.0											140.04	17.35		758	240.07142857142858	5.0	17.857142857142858	A	5.0	8	32
445	AUD_NZD 04DEC2007D	2007-03-12 23:00:00	short	D	1.15076	1	1	2	1444	5	3	0	21.0	5707.0	2007-01-08 00:00:00	1		FALSE	2.0	2.0	3.0											118.9	30.08		63	271.76190476190476	5.619047619047619	23.80952380952381	A	1.6666666666666667	2	19
446	AUD_NZD 03SEP2007D	2007-08-31 23:00:00	long	D	1.16682	1	3	2,1,5	1080	5	1	0	28.0	7392.0	2006-01-09 00:00:00	1		FALSE	2.0	2.0	3.0											154.0	22.5		599	264.0	5.5	17.857142857142858	A	5.0	8	21
447	AUD_NZD 03APR2008D	2008-03-04 23:00:00	long	D	1.15872	1	0	0	914	4	1	0	6.0	2298.0	2007-01-11 00:00:00	1		FALSE	0.0	2.0	3.0											47.88	19.04		418	383.0	7.833333333333333	66.66666666666667	A	4.0	0	9
448	GBP_CHF 24JUL2006D	2006-07-21 23:00:00	long	D	2.3025599999999997	0	0	0	440	3	2	1	6.0	4037.0	2005-01-06 00:00:00	1	376.0	FALSE	1.0	2.0	3.0											84.1	9.17	7.83	561	672.8333333333334	14.0	50.0	A	1.5	0	21
449	GBP_CHF 01JUL2014D	2014-06-30 23:00:00	long	D	1.51889	1	2	4,3	1148	14	4	0	73.0	7564.0	2012-01-08 00:00:00	1		FALSE	4.0	2.0	3.0											157.58	23.92		904	103.61643835616438	2.1506849315068495	19.17808219178082	A	3.5	7	10
450	GBP_CHF 30SEP2014D	2014-09-29 23:00:00	long	D	1.54698	0	0	0	571	5	3	0	13.0	4392.0	2010-01-11 00:00:00	1		FALSE	1.0	2.0	3.0											91.5	11.9		1722	337.84615384615387	7.0	38.46153846153846	A	1.6666666666666667	0	15
451	GBP_CHF 11FEB2015D	2015-10-02 23:00:00	long	D	1.41811	1	0	0	1040	5	1	0	17.0	14430.0	2013-01-08 00:00:00	1		FALSE	1.0	2.0	3.0											300.62	21.67		997	848.8235294117648	17.647058823529413	29.41176470588235	A	5.0	0	21
452	GBP_CHF 26JAN2016D	2016-01-25 23:00:00	short	D	1.44119	0	5	2,1,2,1,3	3240	7	6	0	37.0	10959.0	2015-01-05 00:00:00	1	1860.0	TRUE	1.0	2.0	3.0											228.31	67.5	38.75	385	296.18918918918916	6.162162162162162	18.91891891891892	A	1.1666666666666667	9	-3
453	GBP_CHF 14MAR2016D	2016-11-03 23:00:00	long	D	1.41813	0	0	0	1800	7	1	0	11.0	3887.0	2016-01-02 00:00:00	1		TRUE	0.0	2.0	3.0											80.98	37.5		306	353.3636363636364	7.2727272727272725	63.63636363636363	A	7.0	0	13
470	EUR_AUD 18JUN2013D	2013-06-17 23:00:00	long	D	1.4114	1	4	7,10,2,2	3022	7	1	1	58.0	18208.0	2010-01-08 00:00:00	1		FALSE	4.0	2.0	3.0											379.33	62.96		1256	313.9310344827586	6.5344827586206895	12.068965517241379	A	7.0	21	15
471	EUR_AUD 15AUG2013D	2013-08-14 23:00:00	long	D	1.46074	1	6	3,5,7,10,2,3	4817	12	2	0	94.0	23810.0	2010-03-15 00:00:00	1		FALSE	4.0	0.0	1.0											496.04	100.35		1248	253.29787234042553	5.276595744680851	12.76595744680851	A	6.0	30	15
472	EUR_AUD 23DEC2014D	2014-12-22 23:00:00	long	D	1.51004	0	1	6	2932	7	2	0	21.0	8094.0	2014-03-25 00:00:00	1		TRUE	0.0	2.0	4.0											168.62	61.08		272	385.42857142857144	8.0	33.333333333333336	A	3.5	6	2
473	EUR_AUD 01SEP2015D	2015-08-31 23:00:00	long	D	1.58369	1	1	3	8781	7	1	0	8.0	7691.0	2009-01-12 00:00:00	1		FALSE	0.0	0.0	1.0											160.23	182.94		2422	961.375	20.0	87.5	A	7.0	3	15
489	EUR_AUD 18JUN2013D	2013-06-17 23:00:00	long	D	1.4114	1	4	7,10,2,2	3022	7	1	1	58.0	18208.0	2010-01-08 00:00:00	1		FALSE	4.0	2.0	3.0											379.33	62.96		1256	313.9310344827586	6.5344827586206895	12.068965517241379	A	7.0	21	15
490	EUR_AUD 15AUG2013D	2013-08-14 23:00:00	long	D	1.46074	1	6	3,5,7,10,2,3	4817	12	2	0	94.0	23810.0	2010-03-15 00:00:00	1		FALSE	4.0	0.0	1.0											496.04	100.35		1248	253.29787234042553	5.276595744680851	12.76595744680851	A	6.0	30	15
491	EUR_AUD 23DEC2014D	2014-12-22 23:00:00	long	D	1.51004	0	1	6	2932	7	2	0	21.0	8094.0	2014-03-25 00:00:00	1		TRUE	0.0	2.0	4.0											168.62	61.08		272	385.42857142857144	8.0	33.333333333333336	A	3.5	6	2
492	EUR_AUD 01SEP2015D	2015-08-31 23:00:00	long	D	1.58369	1	1	3	8781	7	1	0	8.0	7691.0	2009-01-12 00:00:00	1		FALSE	0.0	0.0	1.0											160.23	182.94		2422	961.375	20.0	87.5	A	7.0	3	15
