	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
81	GBP_JPY 23FEB2012H12	2012-02-23 10:00:00	long	H12	126.0	1	3	8,1,4	1000	9	3	1	55.0	8584.0	2011-01-08 00:00:00	0		FALSE	5.0	4.0	6.0				50.0						True	178.83	20.83		411	156.07272727272726	3.2363636363636363	16.363636363636363	A	3.0	13	11
82	GBP_JPY 22APR2008H12	2008-04-22 10:00:00	long	H12	205.15	1	0	0	4607	5	1	0	50.0	10553.0	2008-01-02 00:00:00	0		FALSE	1.0	4.0	6.0				49.0						False	219.85	95.98		111	211.06	4.38	10.0	A	5.0	0	-4
83	GBP_JPY 21OCT2014H12	2014-10-21 22:00:00	short	H12	171.84	0	1	7	4391	13	2	0	29.0	5874.0	2014-01-02 00:00:00	0		FALSE	1.0	4.0	6.0				20.0						True	122.38	91.48		292	202.55172413793105	4.206896551724138	44.827586206896555	A	6.5	7	-3
84	GBP_JPY 20SEP2018H12	2018-09-20 10:00:00	long	H12	148.32399999999998	1	4	4,2,1	950	5	1	1	45.0	7364.0	2018-01-05 00:00:00	0		FALSE	1.0	4.0	6.0											153.42	19.79		258	163.64444444444445	3.4	11.11111111111111	A	5.0	7	3
90	GBP_JPY 05MAY2015H12	2015-05-05 10:00:00	long	H12	182.051	0	1	5	2730	10	3	0	29.0	7283.0	2015-01-01 00:00:00	0	505.0	TRUE	2.0	4.0	6.0				22.0						True	151.73	56.88	10.52	124	251.13793103448276	5.206896551724138	34.48275862068966	A	3.3333333333333335	5	5
94	GBP_AUD 26MAR2012H12	2012-03-26 22:00:00	long	H12	1.51755	1	1	6	1437	8	2	0	57.0	6104.0	2011-01-12 00:00:00	0		TRUE	6.0	4.0	6.0				53.0	4.0	3.0	9,9	43.0		False	127.17	29.94		439	107.08771929824562	2.2280701754385963	14.035087719298245	A	4.0	6	2
95	GBP_AUD 25APR2017H12	2017-04-25 10:00:00	long	H12	1.7008400000000001	1	1	6	2023	11	1	1	56.0	10992.0	2016-01-09 00:00:00	0		FALSE	2.0	4.0	6.0				50.0	6.0	6.0	12,9,13,13,5	51.0		False	229.0	42.15		472	196.28571428571428	4.089285714285714	19.642857142857142	A	11.0	6	14
96	GBP_AUD 24MAY2010H12	2010-05-24 22:00:00	long	H12	1.7474900000000002	0	1	3	4675	6	2	1	12.0	12009.0	2010-01-02 00:00:00	0	2665.0	FALSE	0.0	4.0	6.0				15.0	4.0	2.0	7	74.0		True	250.19	97.4	55.52	142	1000.75	20.833333333333332	50.0	A	3.0	3	17
98	GBP_AUD 20MAY2013H12	2013-05-20 22:00:00	long	H12	1.55768	0	3	3,2,3	1890	7	1	0	66.0	11508.0	2012-01-10 00:00:00	0	978.0	TRUE	6.0	4.0	6.0				67.0	4.0	7.0	6,8,7,6,6,7,17	41.0		True	239.75	39.38	20.38	496	174.36363636363637	3.621212121212121	10.606060606060606	A	7.0	8	-4
99	GBP_AUD 17SEP2008H12	2008-09-17 10:00:00	long	H12	2.25265	1	4	1,4,5,1	5100	5	1	0	83.0	21039.0	2008-01-01 00:00:00	0		FALSE	3.0	4.0	6.0				83.0	3.0	2.0	7	38.0		False	438.31	106.25		260	253.48192771084337	5.27710843373494	6.024096385542169	A	5.0	11	-6
