	timeframe	id 1st peak	start 1st peak	entry 1st peak	S/L 1st peak	outcome 1st peak	retraced 1st peak	last time 1st peak	Candle +1 against trade 1st peak	RSI bounces 1st peak	RSI 1st peak	No of candles 1st peak	bounce length 1st peak	indecission 1st peak	divergence 1st peak	entry on RSI 1st peak	length of trend 1st peak	length in pips	bounces 1st peak	id 2nd peak	start 2nd peak	entry 2nd peak	S/L 2nd peak	outcome 2nd peak	retraced 2nd peak	RSI 2nd peak	divergence 2nd peak	valley	differential	diff	pips_ratio	rsi_inarea_1st	sum_bounces	score
90	D	EUR_GBP 26NOV2007D	2007-11-25 23:00:00	0.71823	0.7229899999999999	1		2003-01-01 00:00:00	0	2	76	7.0	2,9	1	1	1	58	4247	2	EUR_GBP 11DEC2007D	10/12/2007 23:00	0.71785	0.7248	0		65	1	11	299	1789.0	73.22413793103448	1	11	2
91	D	EUR_AUD 19JUL2016D	2016-07-18 23:00:00	1.4618	1.43292	1		2015-01-05 00:00:00	0	3	29	4.0	1,1,2	2	1	0	37	9196	6	EUR_AUD 16AUG2016D	15/08/2016 23:00	1.46221	1.43333	1		36	0	19	817	560.0	248.54054054054055	1	4	3
92	D	EUR_AUD 29MAR2018D	2018-03-28 23:00:00	1.6044200000000002	1.6215899999999999	1		2009-01-12 00:00:00	0	7	71	2.0	1,1,1,2,4,5,2	1	0	0	284	23558	5	EUR_AUD 02MAY2018D	01/05/2018 23:00	1.5963100000000001	1.61602	1		61	0	18	-513	3362.0	82.95070422535211	1	16	5
93	H8	USD_CAD 08MAY2007H8	2007-08-05 13:00:00	1.10449	1.0977	1		2002-01-01 00:00:00	0	8	28	1.0	3,3,4,1,5,2,17,4	2	1	0	106	7279	5	USD_CAD 16MAY2007H8	16/05/2007 13:00	1.10222	1.09543	0		37	0	19	443	2042.0	68.66981132075472	1	39	5
94	D	EUR_AUD 19JUL2016D	2016-07-18 23:00:00	1.4618	1.43292	1		2015-01-05 00:00:00	0	3	29	4.0	1,1,2	2	1	0	37	9196	6	EUR_AUD 16AUG2016D	15/08/2016 23:00	1.46221	1.43333	1		36	0	19	817	560.0	248.54054054054055	1	4	3
95	D	EUR_AUD 29MAR2018D	2018-03-28 23:00:00	1.6044200000000002	1.6215899999999999	1		2009-01-12 00:00:00	0	7	71	2.0	1,1,1,2,4,5,2	1	0	0	284	23558	5	EUR_AUD 02MAY2018D	01/05/2018 23:00	1.5963100000000001	1.61602	1		61	0	18	-513	3362.0	82.95070422535211	1	16	5
96	H8	USD_CAD 08MAY2007H8	2007-08-05 13:00:00	1.10449	1.0977	1		2002-01-01 00:00:00	0	8	28	1.0	3,3,4,1,5,2,17,4	2	1	0	106	7279	5	USD_CAD 16MAY2007H8	16/05/2007 13:00	1.10222	1.09543	0		37	0	19	443	2042.0	68.66981132075472	1	39	5
97	H12	NZD_JPY 29MAR2006H12	2006-03-29 22:00:00	71.528	70.367	1		2004-01-07 00:00:00	0	5	22	1.0	6,8,2,5,3	3	1	0	76	10533	5	NZD_JPY 05APR2006H12	05/04/2006 09:00	71.975	70.52	1		35	0	12	-254	812.0	138.5921052631579	1	24	4
98	H12	NZD_JPY 23JAN2007H12	2007-01-23 22:00:00	84.965	85.68	1		2002-01-01 00:00:00	0	12	73	2.0	1,4,3,21,1,4,1,2,5,1,3,7	1	1	0	292	16000	2	NZD_JPY 26FEB2007H12	26/02/2007 22:00	84.965	86.0	1		73	0	49	431	1848.0	54.794520547945204	1	53	4
99	H12	NZD_JPY 15AUG2008H12	2008-08-15 09:00:00	77.375	75.275	0		2006-01-08 00:00:00	0	3	27	4.0	3,1,2	1	0	0	34	4067	2	NZD_JPY 26AUG2008H12	26/08/2008 21:00	76.63	75.64699999999999	0		35	0	18	-1846	950.0	119.61764705882354	1	6	1
100	H12	NZD_JPY 08OCT2008H12	2008-08-10 21:00:00	61.855	57.13399999999999	0		2002-01-09 00:00:00	0	1	20	1.0	5	1	0	0	11	9970	3	NZD_JPY 16OCT2008H12	16/10/2008 21:00	62.901	58.18	0		35	0	9	-867	2405.0	906.3636363636364	1	5	1
101	H12	NZD_JPY 04OCT2011H12	2011-04-10 09:00:00	58.288000000000004	57.498000000000005	0	131.0	2009-01-05 00:00:00	0	2	25	1.0	5,7	1	1	0	45	7298	5	NZD_JPY 27NOV2011H12	27/11/2011 22:00	57.922	56.968999999999994	1		21	0	75	392	825.0	162.17777777777778	1	12	4
102	H12	NZD_JPY 08JUL2015H12	2015-08-07 21:00:00	81.738	80.509	0		2013-01-10 00:00:00	0	6	25	2.0	11,5,6,2,5,1	4	1	0	42	7167	2	NZD_JPY 19JUL2015H12	19/07/2015 21:00	81.358	80.358	1		30	0	14	236	939.0	170.64285714285714	1	30	3
103	H12	NZD_JPY 16DEC2016H12	2016-12-16 10:00:00	82.844	83.829	1		2015-01-06 00:00:00	0	3	81	3.0	25,3,3	1	1	0	95	10070	4	NZD_JPY 30JAN2017H12	30/01/2017 10:00	83.055	83.876	1		71	0	59	66	710.0	106.0	1	31	3
